CreatedBy.Name,CreatedDate,Id,LastModifiedBy.Name,LastModifiedDate
Ruben Halman,2020-03-10T22:42:03.000+0000,0663X000004O4XzQAK,Ruben Halman,2020-03-10T22:42:07.000+0000
Ruben Halman,2020-03-10T22:42:06.000+0000,0663X000004O4YCQA0,Ruben Halman,2020-03-10T22:42:07.000+0000
Ruben Halman,2020-03-10T22:42:06.000+0000,0663X000004O4YAQA0,Ruben Halman,2020-03-10T22:42:07.000+0000
Ruben Halman,2020-03-10T22:42:06.000+0000,0663X000004O4Y8QAK,Ruben Halman,2020-03-10T22:42:07.000+0000
Ruben Halman,2020-03-10T22:42:06.000+0000,0663X000004O4Y7QAK,Ruben Halman,2020-03-10T22:42:07.000+0000
Ruben Halman,2020-03-10T22:42:05.000+0000,0663X000004O4Y6QAK,Ruben Halman,2020-03-10T22:42:07.000+0000
Ruben Halman,2020-03-10T22:42:03.000+0000,0663X000004O4Y4QAK,Ruben Halman,2020-03-10T22:42:07.000+0000
Ruben Halman,2020-03-10T22:42:03.000+0000,0663X000004O4Y0QAK,Ruben Halman,2020-03-10T22:42:07.000+0000
Ruben Halman,2020-03-10T22:42:03.000+0000,0663X000004O4Y1QAK,Ruben Halman,2020-03-10T22:42:07.000+0000
Ruben Halman,2020-03-10T22:42:03.000+0000,0663X000004O4Y2QAK,Ruben Halman,2020-03-10T22:42:07.000+0000
Ruben Halman,2020-03-10T22:42:03.000+0000,0663X000004O4Y3QAK,Ruben Halman,2020-03-10T22:42:07.000+0000
Ruben Halman,2020-03-10T22:42:06.000+0000,0663X000004O4Y9QAK,Ruben Halman,2020-03-10T22:42:06.000+0000
Ruben Halman,2020-03-10T22:42:06.000+0000,0663X000004O4YEQA0,Ruben Halman,2020-03-10T22:42:06.000+0000
Ruben Halman,2020-03-10T22:42:06.000+0000,0663X000004O4YBQA0,Ruben Halman,2020-03-10T22:42:06.000+0000
Ruben Halman,2020-03-10T22:42:06.000+0000,0663X000004O4YDQA0,Ruben Halman,2020-03-10T22:42:06.000+0000
Ruben Halman,2020-03-10T22:42:06.000+0000,0663X000004O4YFQA0,Ruben Halman,2020-03-10T22:42:06.000+0000
Ruben Halman,2020-03-10T22:42:03.000+0000,0663X000004O4Y5QAK,Ruben Halman,2020-03-10T22:42:05.000+0000
Ruben Halman,2019-11-26T16:34:40.000+0000,0663X000003TaAvQAK,Ruben Halman,2019-11-26T16:34:40.000+0000
