CreatedBy.Name,CreatedDate,Id,LastModifiedBy.Name,LastModifiedDate
Ruben Halman,2019-10-22T19:20:08.000+0000,0Ab3X000000EEpuSAG,Ruben Halman,2020-04-01T08:53:26.000+0000
Ruben Halman,2020-02-24T21:22:48.000+0000,0Ab3X000000FlihSAC,Ruben Halman,2020-04-01T08:53:21.000+0000
Ruben Halman,2020-02-25T17:54:28.000+0000,0Ab3X000000FohQSAS,Ruben Halman,2020-02-25T17:54:28.000+0000
Ruben Halman,2020-01-08T20:08:41.000+0000,0Ab3X000000EiYaSAK,Ruben Halman,2020-01-11T14:23:37.000+0000
Ruben Halman,2020-01-09T09:00:06.000+0000,0Ab3X000000EiZ5SAK,Ruben Halman,2020-01-11T14:23:37.000+0000
Ruben Halman,2020-01-09T09:00:06.000+0000,0Ab3X000000EiZ4SAK,Ruben Halman,2020-01-11T14:23:37.000+0000
Ruben Halman,2020-01-08T20:08:36.000+0000,0Ab3X000000EiYVSA0,Ruben Halman,2020-01-11T14:23:37.000+0000
Ruben Halman,2020-01-08T22:01:03.000+0000,0Ab3X000000EiYkSAK,Ruben Halman,2020-01-08T23:54:49.000+0000
Ruben Halman,2020-01-08T22:53:18.000+0000,0Ab3X000000EiYzSAK,Ruben Halman,2020-01-08T23:50:42.000+0000
Ruben Halman,2019-11-09T23:59:56.000+0000,0Ab3X000000EeGfSAK,Ruben Halman,2019-11-10T00:25:33.000+0000
Ruben Halman,2019-11-09T15:10:03.000+0000,0Ab3X000000EeFpSAK,Ruben Halman,2019-11-09T15:13:05.000+0000
Ruben Halman,2019-10-21T19:10:38.000+0000,0Ab3X000000EAcoSAG,Ruben Halman,2019-10-22T19:15:51.000+0000
