CreatedBy.Name,CreatedDate,Id,LastModifiedBy.Name,LastModifiedDate
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy12QAC,Automated Process,2023-02-11T00:41:21.000+0000
Ruben Halman,2022-06-10T23:42:00.000+0000,02u3X000001jb9AQAQ,Ruben Halman,2022-06-10T23:42:00.000+0000
Ruben Halman,2020-07-21T17:17:04.000+0000,02u3X000001jRpMQAU,Ruben Halman,2020-07-21T17:17:04.000+0000
Ruben Halman,2020-07-21T17:16:57.000+0000,02u3X000001jRpLQAU,Ruben Halman,2020-07-21T17:16:57.000+0000
Ruben Halman,2020-03-03T12:22:32.000+0000,02u3X000000ZZlpQAG,Ruben Halman,2020-03-03T12:22:32.000+0000
Ruben Halman,2020-03-02T22:13:45.000+0000,02u3X000000ZZUMQA4,Ruben Halman,2020-03-02T22:13:45.000+0000
Ruben Halman,2020-02-24T23:09:08.000+0000,02u3X000000ZVjuQAG,Ruben Halman,2020-02-25T17:59:59.000+0000
Ruben Halman,2020-02-24T21:06:17.000+0000,02u3X000000ZVfNQAW,Ruben Halman,2020-02-25T17:53:50.000+0000
Ruben Halman,2019-11-16T16:23:51.000+0000,02u3X000000Z9ZzQAK,Ruben Halman,2019-12-01T22:54:55.000+0000
Ruben Halman,2019-10-17T11:01:57.000+0000,02u3X000000YyIKQA0,Ruben Halman,2019-11-26T16:42:39.000+0000
Ruben Halman,2019-11-10T13:46:37.000+0000,02u3X000000Z8sWQAS,Ruben Halman,2019-11-10T13:46:37.000+0000
Ruben Halman,2019-10-22T14:55:57.000+0000,02u3X000000Z1CKQA0,Ruben Halman,2019-10-22T14:55:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy10QAC,Ruben Halman,2019-10-22T05:35:34.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy0nQAC,Ruben Halman,2019-10-17T11:00:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy0oQAC,Ruben Halman,2019-10-17T11:00:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy0sQAC,Ruben Halman,2019-10-17T11:00:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy0tQAC,Ruben Halman,2019-10-17T11:00:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy0uQAC,Ruben Halman,2019-10-17T11:00:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy0vQAC,Ruben Halman,2019-10-17T11:00:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy11QAC,Ruben Halman,2019-10-17T11:00:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy13QAC,Ruben Halman,2019-10-17T11:00:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy14QAC,Ruben Halman,2019-10-17T11:00:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy0mQAC,Ruben Halman,2019-10-17T11:00:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy0lQAC,Ruben Halman,2019-10-17T11:00:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy0hQAC,Ruben Halman,2019-10-17T11:00:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy0iQAC,Ruben Halman,2019-10-17T11:00:57.000+0000
Ruben Halman,2019-10-17T11:00:57.000+0000,02u3X000001Uy0kQAC,Ruben Halman,2019-10-17T11:00:57.000+0000
